企业名称,省份,城市,统一社会信用代码,法定代表人,企业类型,成立日期,注册资本,地址,邮箱,经营范围,网址,电话号码,电话号码（更多号码）
无锡五星花园置业有限公司,江苏,无锡市,91320200772000836P,谢鸣宇,有限责任公司,2005-03-08,15000万人民币元,无锡市通扬南路55-30,yiduoweixin@126.com,"自行开发房屋的销售;房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82827700,0510-82827700-8071；
无锡市聚丰置业投资有限公司,江苏,无锡市,91320214739442712P,张惠丰,有限责任公司（法人独资）,2002-06-13,10000万人民币元,无锡市南站叙丰村锡甘路78号,jsygzy@163.com,"房地产投资;对投资的房屋、附属场地提供租赁、物业管理;房地产咨询、策划中介服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85450229,
无锡市润福置业有限公司,江苏,无锡市,91320205050200510F,胡汛,有限责任公司,2012-07-06,4000万人民币元,无锡市锡山经济技术开发区团结大道20号嘉润公寓801室,wx_laite@126.com,"房地产开发、销售。(凭有效资质证书经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88200699,0510-80101850；0510-80101802；0510-80101803；
无锡红山置业有限公司,江苏,无锡市,913202007322452490,黄清海,有限责任公司(台港澳与境内合资),2001-11-02,500万美元,无锡市蠡园经济开发区A6五楼,qinyi@tiananchina.cn,"“天安红山半岛”的房地产开发经营(暂定二级)。(不含国家限制类项目,凭有效许可证明经营)(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82710310,
上海城建置业无锡蠡湖有限公司,江苏,无锡市,91320211573808859Y,袁继康,有限责任公司（法人独资）,2011-05-05,20000万人民币元,无锡市蠡湖大道168号蠡湖大厦2002室,SHCJZYWX@163.com,"房地产开发经营(凭有效资质证书经营);土地平整,基础设施建设;房地产项目策划、咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85502200,0510-85502650；
无锡中隆文化旅游发展有限公司,江苏,无锡市,91320205MA1MAXXR4U,喻方春,有限责任公司,2015-11-06,5000万人民币元,无锡市锡山区安镇街道东兴路北、胶南路西,postmaster@cmpinvestment.com,"旅游资源的开发、经营;组织文化艺术交流(不含营业性演出和演出经纪);房地产开发、经营;商业运营管理;商务信息咨询(不含投资咨询);酒店管理服务;物业管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88333036,
无锡通达置业有限公司,江苏,无锡市,91320206076398756B,赵超越,有限责任公司（法人独资）,2013-09-05,3000万人民币元,无锡市惠山区惠山大道88号明都大厦9号门1903-1(地铁西漳站区),56811288@qq.com,"房地产中介服务、企业管理咨询服务;土木工程、室内外装饰工程设计、施工;计算机应用软件技术、电子商务技术的研发;金属材料、五金交电的销售,房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-81860998,0510-81860997；
无锡医霖置业发展有限公司,江苏,无锡市,913202140815730029,杨喜星(JONG HEE SEN),有限责任公司(外国法人独资),2013-11-07,6500万美元,无锡新区长江北路20号,info@wxfhyy.com,"从事无锡市长江北路东侧、新光路北侧地块(地号:6-001-030-085)房地产开发与经营。医院投资管理咨询、医院信息咨询(以上除医疗、诊断、治疗)、医院管理软件的开发设计。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85226777,0510-85229602；0510-85229603；
无锡市丰联置业发展有限公司,江苏,无锡市,91320200354951807P,堵仁良,有限责任公司（法人独资）,2015-09-08,5000万人民币元,无锡市锡山区安镇街道东兴路北、胶南路西,1058581103@qq.com,"房地产开发与销售、物业管理服务、园林古建筑工程(以上凭有效资质证书经营);房屋租赁;绿化服务;利用自有资产对外投资;为企业提供管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15190270925,0510-88531771；0510-83192999；
积水置业(无锡)有限公司,江苏,无锡市,913200005900010456,森川健,有限责任公司(外国法人独资),2012-02-23,26518万美元,江苏省无锡市新吴区菱湖大道1号裕沁湖畔庭79-201-1室,wx01.yj.liu@sekisuihouse-cn.com,"房地产的开发与经营;房屋的出租(不含国家限制、禁止类项目);建筑及室内装修、装饰的咨询服务;从事建筑部品及家具装修材料的批发。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://wx.sh-yuqin.com.cn/,0510-81817293,
无锡市名都置业有限公司,江苏,无锡市,913202827665045285,王颖,有限责任公司（法人独资）,2004-10-20,6000万人民币元,宜兴环科园文昌路新城路口,296535258@qq.c0m,"按二级标准从事房地产开发经营业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-87986368,
无锡海天新隆置业有限公司,江苏,无锡市,91320213551181768W,谢金雄,有限责任公司,2010-03-12,33423.66万人民币元,无锡新吴区梅村镇新洲路210号,978154425@qq.com,"从事无锡市XDG(XQ)-2009-51号地块普通住宅及配套商业设施的开发与经营(不含国家限制类和禁止类项目)。物业管理(凭有效资质证书经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88155708,
无锡天安智慧城置业有限公司,江苏,无锡市,91320214697921482Q,胡爱民,有限责任公司(台港澳法人独资),2009-12-28,25000万人民币元,无锡新区菱湖大道228号天安智慧城1-1105,qinyi@tiananchina.cn,"从事无锡(太湖)国际科技园TKY-GY-B-03、04号地块的房地产开发,经营本公司开发的房产(不含国家限制、禁止类项目,凭有效资质证书经营)。传感技术研发;自有房产的租赁;物业管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82710310,0510-81170000；
无锡玉祁宝龙置业有限公司,江苏,无锡市,913202007983356508,许健康,有限责任公司(台港澳与境内合资),2007-02-27,1500万美元,无锡市惠山区玉祁镇民主村,583016662@qq.com,"从事对玉祁镇民主村振祁路两侧6005-73、74、75、76号地块的房产开发(不含国家限制、禁止类项目);用于普通住宅的建设,并经营本公司开发的房产。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83886666,0510-83886666-800；
无锡信达青和置业有限公司,江苏,无锡市,91320200MA1NGJUP4P,袁平,有限责任公司(外国法人独资),2017-03-03,20000万美元,无锡市新吴区金城东路333-1-301,,"房地产开发(不含别墅)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡家乐置业有限公司,江苏,无锡市,91320206763565034E,顾建兴,有限责任公司（法人独资）,2004-07-12,2080万人民币元,无锡市惠山区长安街道友谊街666号,326438488@qq.com,"房地产开发、经营,以自有资金对外投资,物业管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88101838,0510-83761593；0510-83761234-8022；0510-83760837；
无锡久祥置业有限公司,江苏,无锡市,913202066955078949,潘学峰,有限责任公司,2009-10-15,2000万人民币元,无锡市惠山区钱桥盛岸西路590号-4,1005053513@qq.com,"房地产开发、销售,物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18601270013,0510-83230180；13665199411；
无锡市东鹏置业投资有限公司,江苏,无锡市,,杨晓军,有限责任公司,2007-11-02,10000万人民币元,无锡市锡沪路三号桥西堍,,"房地产开发、销售;房地产的租赁服务;利用自有资产对外投资;企业管理服务;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82410600,0510-82444114；
无锡乔一置业有限公司,江苏,无锡市,91320282MA1PY9319Y,许红云,有限责任公司(自然人独资),2017-07-21,10000万人民币元,宜兴市宜城街道万达广场113号1303室,,房地产开发;房产中介服务;利用自有资金对外投资;酒店、餐饮管理服务;建筑智能化工程、地基基础工程、装饰装潢工程、建筑幕墙工程、土木工程、土石方工程、市政工程、公路路桥工程、园林绿化工程、城市照明工程的设计、施工;建筑工程机械设备、建筑材料、装饰装潢材料、保温材料、五金交电、金属材料、水暖器材、电线电缆的...,,,
中邦置业集团无锡有限公司,江苏,无锡市,91320211797401871Y,倪英洁,有限责任公司,2006-12-22,5000万人民币元,无锡市滨湖区震泽路27号,gmhwx@163.com,"物业管理;房地产信息咨询服务;国内贸易;房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85952543,
无锡广成地铁上盖置业有限公司,江苏,无锡市,91320200086948942D,陈军,有限责任公司,2013-12-19,2000万人民币元,无锡市滨湖区锦溪路100号,MIAOFENG@GREENLANDHK.COM,"房地产开发与经营;物业管理;建筑工程施工;装饰装修服务;自有房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82852050,0510-81960128；0510-81827915；
无锡富安置业有限公司,江苏,无锡市,913202117610111429,陆国钧,有限责任公司,2004-04-15,2500万人民币元,无锡市滨湖区胡埭镇芙蓉路19号(无锡市胡埭水泥有限公司内),,"房地产开发与经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82133700,0510-82133200；
无锡天鸣置业有限公司,江苏,无锡市,913202007624209844,沈美钗,有限责任公司(台港澳法人独资),2004-11-24,600万美元,无锡市湖滨路157号B区213号,3546443607@qq.com,"房产开发、经营本公司开发房产(不含国家限制类、禁止类项目,涉及专项审批的凭有效许可证明经营);物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85136333,
无锡市双欢置业有限公司,江苏,无锡市,91320206664942746D,丁德明,有限责任公司,2007-07-19,30000万人民币元,无锡市惠山区洛社洛城大道1号,1136768284@qq.com,"自有房屋的销售;物业管理;环境绿化建设管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-81137581,0510-81137337；0510-83830651；
无锡风水隆国际置业有限公司,江苏,无锡市,91320211761012399N,王蓉,有限责任公司（法人独资）,2004-05-12,15000万人民币元,无锡市滨湖区马山梅梁路南侧,wx.wangchi@hkfsl.com,"房地产开发、销售(凭资质证书经营);房屋租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.hkfsl.com,0510-88238913,0510-88238999；0510-88238907；
无锡市紫光置业发展有限公司,江苏,无锡市,91320282796129490D,蒋如华,有限责任公司,2006-12-15,5000万人民币元,宜兴市丁蜀镇陶都路168号E区-9A号,suyangjianshe@163.com,"房地产开发、经营;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88275999,
无锡市长硕置业发展有限公司,江苏,无锡市,91320200MA1NU6G95C,周明洁,有限责任公司(自然人独资),2017-04-21,4000万人民币元,无锡市北塘大街122号,,"房地产开发与经营;物业管理;绿化服务;房屋租赁;利用资产对外投资。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡居然之家置业有限公司,江苏,无锡市,91320213MA1PB4BG34,王松涛,有限责任公司（法人独资）,2017-07-03,10000万人民币元,无锡市梁溪区锡沪东路1号,,"房地产开发;销售自行开发的商品房;房地产信息咨询;房地产经纪服务;利用自有资金对外投资;房屋租赁(不含融资租赁);物业管理;企业管理服务、仓储服务、停车场管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡翔禾置业有限公司,江苏,无锡市,91320200757301892B,吴继昌,有限责任公司,2003-12-16,2000万人民币元,无锡市江海西路(金山北私营工业园内),1727939404@qq.com,"房地产开发销售;利用本公司自有资产对城市建设进行投资及项目投资咨询;企业管理咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83732710,
无锡金茂置业有限公司,江苏,无锡市,91320206749431486T,戈伯芳,有限责任公司,2003-05-16,2100万人民币元,无锡市惠山区钱桥盛岸西路369-2007,364034821@qq.com,"物业管理;房地产开发、经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83552958,
无锡春秋嘉业置业发展有限公司,江苏,无锡市,91320282792322453C,丁达中,有限责任公司(台港澳与境内合资),2006-09-20,1680万美元,宜兴市新庄镇王婆村,,"普通住宅、标准厂房的开发建设;经营、管理本公司开发的房产(前述范围不含国家限制、禁止类项目)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-80330098,0510-80330066；
无锡汐立置业有限公司,江苏,无锡市,913202033020055520,屈阳,有限责任公司(自然人独资),2014-05-14,3000万人民币元,无锡市时代上河苑30-32-410,919825471@qq.com,"房地产开发(凭有效资质证书经营);房地产中介服务;商业运营管理、商务咨询(不含投资咨询,不含期货证券);物业管理(凭有效资质证书经营);设计、制作、代理和发布各类广告;自营和代理各类商品及技术的进出口业务但国家限定企业经营或禁止进出口的商品和技术除外。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13013673333,13861771076；13222913333；
无锡市尤渡置业有限公司,江苏,无锡市,91320200697918259H,马建,有限责任公司（法人独资）,2009-12-09,5000万人民币元,无锡市广益街道尤渡村尤渡里588号-18,,"房地产咨询;房地产经纪;自有房屋的租赁;针纺织品、塑料制品、家具、装饰装修材料、建筑用材料、五金产品、家用电器的销售;百货的零售;停车场服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82444478,0510-66685799；
无锡阳光建辉资产管理有限公司,江苏,无锡市,91320214745555641B,陶园,有限责任公司（法人独资）,2002-12-31,10000万人民币元,无锡市新区春潮花园二区355-1号230室,jsygzy@163.com,"受托资产管理(不含国有资产);自有房屋出租;自行开发房屋的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85450229,0510-8545022；
无锡嘉阳置业有限公司,江苏,无锡市,91320206056657714E,邱晓风,有限责任公司,2012-11-15,2000万人民币元,无锡市惠山区阳山镇陆育路,wuxijiayang@qq.com,"房地产开发、经营;自有房屋租赁,物业管理服务,五金材料、建筑装潢材料的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83053512,0210-83053512；0510-83053517；
秀水发展无锡有限公司,江苏,无锡市,913202110602005309,唐劲松,有限责任公司（法人独资）,2013-01-06,50000万人民币元,无锡市高浪东路999号,xuekq@nova-invest.cn,"房地产开发经营;利用自有资金对外投资;物业管理;房屋租赁服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85617191,0510-85617654；0510-85617665；
无锡恒宁置业有限公司,江苏,无锡市,91320211MA1R9U3Y1X,席文斌,有限责任公司（法人独资）,2017-10-11,2000万人民币元,无锡市高浪东路999号(软件研发大厦)706室,,"房地产开发经营;房屋租赁服务;物业管理服务;停车场管理服务;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡市金久置业发展有限公司,江苏,无锡市,913202826730258009,史息平,有限责任公司,2008-03-18,5000万人民币元,宜兴经济开发区袁桥路10号,190549046@qq.com,"按贰级资质从事房地产开发业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-87013780,
无锡市隆泰置业有限公司,江苏,无锡市,9132020679650238XN,堵根昌,有限责任公司,2007-01-05,3380万人民币元,无锡市堰桥街道西漳北环路938号,359636474@qq.com,"房地产开发,房地产经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83755222,
无锡市华贸控地置业有限公司,江苏,无锡市,,王安,有限责任公司,2010-12-21,2000万人民币元,江阴市锡澄路655号,,许可经营项目:房地产开发经营。一般经营项目:无,,,
无锡春晓置业有限公司,江苏,无锡市,91320205677036005J,王士忠,有限责任公司,2008-06-24,2000万人民币元,无锡市锡山区东港镇建港路,496944497@qq.com,"自由房屋销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88761855,15088761855；
无锡市金恒力置业有限公司,江苏,无锡市,913202826955212826,吴伯良,有限责任公司,2009-10-19,5880万人民币元,宜兴市官林镇长安街,82580893@qq.com,"按二级资质从事房地产开发经营;标准化厂房的开发经营;物业管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-87209878,0510-87208888；
无锡禾润置业有限公司,江苏,无锡市,91320200661756980G,蒋峰,有限责任公司,2007-05-23,2000万人民币元,无锡市黄巷镇锡澄路半塘寺西东汀桥堍,1303083725@QQ.COM,"按贰级标准从事房地产开发经营业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82618689,
无锡金润置业有限公司,江苏,无锡市,91320211774654200D,朱克平,有限责任公司,2005-05-17,2380万人民币元,无锡市湖滨路67号,qijinlin@jddjt.com,"房地产开发、销售(凭有效资质证书经营);物业管理;自有房屋租赁;停车场管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,025-84809666,0510-85133652；
无锡江浙置业投资发展有限公司,江苏,无锡市,913202006701484691,华国梁,有限责任公司,2008-01-03,3000万人民币元,无锡市解放西路369号五楼,112920972@qq.com,"房地产开发与经营(凭资质证书经营);利用自有资产对外投资;煤炭、建筑用材料、金属材料、供暖设备、制冷设备、装饰材料、管道设备、卫生洁具的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-83786818,0510-83786818；
无锡仁发合作置业企业(普通合伙),江苏,无锡市,91320205079894165B,无锡天润发锡东超市有限公司(委托代表:孙泳伦),普通合伙企业,2013-10-08,26000万人民币元,无锡市锡山区安镇街道锡沪路南、润锡路东,tianrengroup@126.com,服装、百货、鞋帽、纺织品、家具、五金交电的销售;物业管理服务(凭有效资质证书经营);房屋及附属设备、设施的维护、保养与维修;室内外装饰装潢的设计与服务(不含资质);房屋建筑工程的施工;自有房屋的租赁(不含融资性租赁);市场营销策划;大型庆典活动的筹备、策划、组织(不含营业性演出和演出经纪);商业运营管理;...,,0510-85808680,0510-85808580；
无锡华宇置业有限公司,江苏,无锡市,913202060586379284,张林忠,有限责任公司,2012-12-03,2000万人民币元,无锡惠山经济开发区堰新路318号613室,54321658@qq.com,"房地产开发、经营,自有资产对外投资,物业管理,房产租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82705600,
无锡景泰置业咨询有限公司,江苏,无锡市,91320214061865112A,高会军,有限责任公司（法人独资）,2013-01-31,2700万人民币元,无锡市新区江溪街道坊前坊镇路58号,2868008857@qq.com.cn,"房地产开发;房地产投资顾问;房地产经纪;房屋代理销售;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15051443955,18012629288；0512-69171821；
无锡盛鑫置业有限公司,江苏,无锡市,913202117974023567,吴锦平,有限责任公司,2007-01-17,2000万人民币元,无锡市建筑路新梁溪人家136-425、426、427、428、429,sxzy2008@163.com,"房地产开发、经营;房屋维修(凭资质证书经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85841590,0510-85841460；
无锡世茂新发展置业有限公司,江苏,无锡市,913202006978536277,LIU SAI FEI(刘赛飞),有限责任公司,2009-11-23,35000万人民币元,无锡市县前东街1号第23层2305室,wenli_wang@shimaogroup.com,"房地产开发经营(凭有效资质证书经营);物业管理(凭有效资质证书经营);停车场管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82620550,0510-88301106；
无锡华亿置业有限公司,江苏,无锡市,91320214572599880G,陈亮,有限责任公司（法人独资）,2011-04-02,2000万人民币元,无锡新区菱湖大道200号中国传感网国际创新园B413,huayizhiye@126.com,"房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-68899999,
无锡万宇置业有限公司,江苏,无锡市,91320214768291925P,王金磊,有限责任公司（法人独资）,2004-12-07,2000万人民币元,无锡市梅村镇工业集中区A-98号,374452336@qq.com,房地产开发经营;房地产销售、出租、中介;物业管理;停车场经营。(依法须经批准的项目、经相关部门批准后方可开展经营活动),,0510-85086888,0510-81152320；
蓝城盛德置业(无锡)有限公司,江苏,无锡市,91320211MA1QFPGR5X,盛才良,有限责任公司,2017-09-07,5000万人民币元,无锡太湖西大道2288号-1801,,"房地产开发经营;利用自有资金对外投资;室内外装饰服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡锦汇置业有限公司,江苏,无锡市,91320211570337019X,吴坚,有限责任公司（法人独资）,2011-03-07,2000万人民币元,无锡市滨湖区蓓蕾新村21号,675250712@qq.com,"房地产开发经营(凭有效资质证书经营);经济信息咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88660320,0510-88088188；
无锡生命置业有限公司,江苏,无锡市,91320206785955287B,曾马婆,有限责任公司,2006-03-17,2400万人民币元,无锡惠山经济开发区惠山大道与伟五路交界处东北地块,2889271994@QQ.com,"房地产开发、经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",http://www.wxolympicgarden.com,0510-83591289,0510-83591907；
无锡宝佳利置业有限公司,江苏,无锡市,91320206MA1MB9R80W,刘仁龙,有限责任公司,2015-11-17,2000万人民币元,无锡市惠山区惠山大道108号4-702-2(地铁西漳站区),377069295@qq.com,"房地产开发经营,房地产中介服务,物业管理。(依法须经相关部门批准的项目,经相关部门批准后方可开展经营活动)",,13665112050,13941179997；
久信置业(无锡)有限公司,江苏,无锡市,91320200MA1T795N8R,陈庆洪,有限责任公司(台港澳法人独资),2017-11-01,20700万美元,无锡市滨湖区锦溪路100号科教创业园3号楼205-22,,"房地产开发、经营;房屋租赁;物业管理;利用自有资金对外投资;家政服务;园林绿化工程、土石方工程、装饰装璜工程的设计及施工;管道和设备安装服务;建材、五金产品、电气机械、办公用设备、橡胶制品、化工产品及原料(不含危险品)的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡龙凯置业有限公司,江苏,无锡市,,朱伟松,有限责任公司,2007-12-10,2000万人民币元,无锡市锡山区安镇镇安国路8号,461768468@qq.com,"房地产开发;装饰装潢服务(不含资质);建筑装饰装潢材料(不含油漆和涂料)的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,17715696313,13814256313；
无锡佳泓置业有限公司,江苏,无锡市,,冯抱宇,有限责任公司,2007-01-19,2000万人民币元,无锡新区汉江北路187号101室,,"许可经营项目:房地产开发经营。(凭有效资质证书经营)一般经营项目:房地产销售策划;社会经济信息咨询;房屋中介;物业管理;装饰装潢服务(不含资质);建筑材料、建筑装饰材料的销售。(上述经营范围涉及行政许可的,经许可后方可经营;涉及专项审批的,经批准后方可经营)*",,,
无锡市双亿置业投资开发有限公司,江苏,无锡市,913202117888766217,孟韶华,有限责任公司,2006-06-14,6000万人民币元,无锡市高浪西路202号,535317663@qq.com,"利用自有资金对外投资;房地产开发、经营;房屋租赁。以下经营项目仅限于分支机构经营:中餐、西餐、自助餐(含凉菜、生食海产品,不含裱花蛋糕);本经营场所内零售卷烟(含雪茄烟);家庭用品的销售;预包装食品零售;美容服务;住宿服务;足浴服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85622999,
无锡市马山灵圣置业有限公司,江苏,无锡市,91320211757983416J,杨文杰,有限责任公司,2003-12-15,39270.5077万人民币元,无锡市滨湖区马山梅梁路26号,563665821@qq.com,"房地产开发、经营(凭有效资质证书经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85995606,0510-82831166；
无锡喜鹊置业投资顾问有限公司,江苏,无锡市,,孙治平,有限责任公司,2004-01-13,300万人民币元,无锡市崇安区中山路343号12楼A1座,,许可经营项目:无 一般经营项目:房地产信息咨询及经纪服务。,,15961748455,
无锡宇达置业有限公司,江苏,无锡市,91320211677044590P,董晓晖,有限责任公司(自然人独资),2008-06-26,1670万人民币元,无锡市滨湖区太湖街道周新中路265号,93879225@qq.com,"房产开发(凭有效资质证书经营);物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13861822686,0510-85061666；
金光置业(无锡)有限公司,江苏,无锡市,913202057174347622,黄志源,有限责任公司(外国法人独资),1999-10-25,4500万美元,无锡市锡山经济开发区,109425868@qq.com,"从事商业房地产开发(不含国家限制类和禁止类项目),经营本公司开发的房产;纸制产品及所需原材料的采购、包装、分割和售后咨询服务;从事木片、木浆纸、纸制产品的批发和进出口业务(以上商品进出口不涉及国营贸易管理商品,涉及配额、许可证管理商品的,按国家有关规定办理申请);自有房产的租赁;物业管理。(依法须经批准的项目,...",www.app.com.cn,0510-88222017,0510-88222013；
无锡致弘置业有限公司,江苏,无锡市,91320214MA1R8F8P36,陈冬桔,有限责任公司,2017-09-27,1000万人民币元,无锡市新吴区梅村街道梅村工业集中区管委会大楼205,,"房地产开发经营,物业管理,房地产中介服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡昊元置业有限公司,江苏,无锡市,91320205085016027W,秦咏梅,有限责任公司（法人独资）,2013-12-04,2000万人民币元,无锡市锡山区东北塘街道锦旺路,zy@haulyuan.com,"房地产开发经营(凭有效资质证书经营);市政工程施工、绿化工程施工、基础工程施工、水电工程施工、土石方工程施工、机电安装建设工程施工;风景园林设计,室内装饰装潢服务(不含资质);建筑装潢材料(不含油漆和涂料)、金属材料及其制品、电器机械及产品、通用机械及配件的销售;企业管理服务,物业管理服务,自有房屋租赁。...",,021-80161230,
无锡市创锦置业有限公司,江苏,无锡市,91320282321294193F,张宇,有限责任公司,2014-11-12,3000万人民币元,宜兴环科园西花园五村A-1#楼101-102室,12257472@qq.com,"房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-87929233,
无锡市金星置业发展有限公司,江苏,无锡市,91320200MA1MUEKU31,陆介世,有限责任公司,2016-09-14,3000万人民币元,无锡市太湖西大道288号3楼,jinxing_123@126.com,"房地产开发经营;物业管理;房地产咨询;市政公用工程、绿化工程、建筑装修装饰工程的设计、施工。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85455134,
无锡华荣置业有限公司,江苏,无锡市,,张翔,有限责任公司,2004-09-01,2000万人民币元,无锡市锡山经济开发区春晖路35号,,许可经营项目:无 一般经营项目:建筑装修装饰工程、房屋拆除工程(凭资质证书经营);房产信息咨询及经纪服务;园林绿化养护服务;物业管理;建筑材料、装饰装潢材料(不含油漆和涂料)、五金、照明电器、金属材料、化工产品及原料(不含危险品)、通用机械及配件的销售;电子产品的开发、技术咨询、技术培训(不含发证)、技术推广和技术...,,0510-88261551,
无锡金山置业有限公司,江苏,无锡市,91320282666381276T,钱盘生,有限责任公司,2007-08-29,2080万人民币元,宜兴市万石镇工业集中区(大尖村),wswsjzw@163.com,"物业管理服务;按贰级标准从事房地产开发经营业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-87848888,0510-87848855；
无锡今日置业有限公司,江苏,无锡市,91320282745570569B,储良成,有限责任公司,2003-01-10,2000万人民币元,宜兴市宜城街道阳羡东路318号,418604633@qq.com,"按贰级标准从事房地产开发经营。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-87056111,0510-87020896；
无锡申云置业发展有限公司,江苏,无锡市,91320205064514692T,周云飞,有限责任公司,2013-03-21,2000万人民币元,锡山区羊尖镇工业园区,,"房地产开发;物业管理;建筑材料的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88733388,
无锡尊园置业投资有限公司,江苏,无锡市,91320211091535149Y,邹玉仙,有限责任公司,2014-02-20,1000万人民币元,无锡市建筑西路599号A幢十二层,324161523@qq.com,"利用自有资金对房地产项目投资;酒店管理;物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18068300000,0510-8372888；0510-83728888-8020；
无锡市恒生富通置业有限公司,江苏,无锡市,,曾云鹰,有限责任公司,2008-09-08,2000万人民币元,江阴市长泾镇花园开发区兴园路,,许可经营项目:房地产开发经营。一般经营项目:物业管理;商品房、建材、五金、针织品、纺织品、纺织原料(不含籽棉)、汽车(品牌汽车经备案后方可经营)、摩托车、服装、鞋帽的销售。,,,
无锡市世贤置业有限公司,江苏,无锡市,,梁洪青,有限责任公司,1996-04-05,2800万人民币元,无锡市蠡园开发区A4底楼,,金属材料、金属制品、建筑材料、建筑装饰材料、五金交电、针纺织品、农副水产品、化工原料(不含危险品)的销售。,,,
无锡万策置业发展有限公司,江苏,无锡市,91320200MA1MRDJP7W,张涛,有限责任公司,2016-08-15,2000万人民币元,无锡市江海东路148号104,1161102385@qq.com,"房地产开发与经营(凭有效资质证书经营);房产经纪;企业形象策划;市场营销策划;企业管理咨询服务;会议及展览服务;贸易咨询服务;装饰装潢服务(不含资质);设计、制作、代理和发布各类广告。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82127210,
