企业名称,省份,城市,统一社会信用代码,法定代表人,企业类型,成立日期,注册资本,地址,邮箱,经营范围,网址,电话号码,电话号码（更多号码）
无锡同城房产经纪有限公司,江苏,无锡市,,王继军,有限责任公司,2010-09-19,50万人民币元,无锡市新区长江北路13-6号,13901517888@139.com,"许可经营项目:无 一般经营项目:房产信息咨询服务、房产经纪、房产中介;装饰装潢服务。(上述经营范围涉及国家专项审批的,经批准后方可经营;凡涉及行政许可的,凭许可证经营)*",,13901517888,13861782237；
无锡亿房房产经纪服务有限公司,江苏,无锡市,,熊尧,有限责任公司,2010-03-19,3万人民币元,无锡市建筑路416-6,,许可经营项目:无 一般经营项目:房产经纪服务。上述经营范围中涉及专项审批的待批准后方可经营。,,,
无锡高升房产经纪有限公司,江苏,无锡市,,桑兰兰,有限责任公司,2013-11-05,50万人民币元,无锡市南长区红星路8号,1753787261@qq.com,"房地产中介服务;会议及展览服务;企业形象策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18921287072,15152233643；18921117090；
无锡筑巢房产经纪有限公司,江苏,无锡市,91320213MA1T7RH64F,周怀德,有限责任公司,2017-11-03,5万人民币元,无锡市梁溪区广益路313号5051-12,,"房地产经纪;房地产信息咨询;房地产营销策划;装饰装潢服务;专业化设计服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡海阔天空房产咨询有限公司,江苏,无锡市,91320206MA1MWPXE65,鲍海根,有限责任公司(自然人独资),2016-10-11,20万人民币元,无锡市惠山区政和大道308 221,454846490@qq.com,"房产中介服务;室内装饰装潢设计、施工。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13914156797,
无锡周原房产经纪有限公司,江苏,无锡市,91320211MA1UXP4N84,岳彩勋,有限责任公司(自然人独资),2018-01-19,30万人民币元,无锡市滨湖区蓓蕾新村7号,,"房地产经纪服务;房地产营销策划;房地产信息咨询;家政服务;室内外装饰装潢工程的设计、施工。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡田然房产咨询有限公司,江苏,无锡市,91320213MA1NRQ753C,田先伟,有限责任公司(自然人独资),2017-04-17,50万人民币元,无锡市蜻蜓浜5号133,,"房地产信息咨询;房地产经纪、房地产营销策划;物业管理(凭有效许可证经营);市场调查;专业化设计服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡瑞兴房产中介有限公司,江苏,无锡市,913202063309068095,许志锟,有限责任公司(自然人独资),2015-02-04,8万人民币元,无锡市惠山区长安街道春城花园560-Z1-10号108,534562657@qq.com,"房地产中介服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18921516695,
无锡鸿运房产经纪有限公司,江苏,无锡市,91320205MA1NC1F2XR,李涛,有限责任公司,2017-01-23,5万人民币元,无锡市锡山区东北塘玫瑰香堤家园2-17号门面房,345720567@qq.com,"房地产中介服务,房地产信息咨询,房地产营销策划,会务服务,展览展示服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13771506310,
无锡老乡房产中介服务有限公司,江苏,无锡市,91320205MA1WJK1M2A,徐为春,有限责任公司,2018-05-16,50万人民币元,无锡市锡山经济开发区春雷苑B区1-24号,,"房产中介服务,房产信息咨询服务,人才招聘。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡状元房产经纪有限公司,江苏,无锡市,91320206MA1Q03WA6R,茅益飞,有限责任公司(自然人独资),2017-07-27,10万人民币元,无锡市惠山区金惠路200,,"房地产中介服务,市场营销策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡旺家房产经纪有限公司,江苏,无锡市,91320214MA1N5EXQ8P,郭广凯,有限责任公司(自然人独资),2016-12-23,20万人民币元,无锡市新吴区鸿山街道唐明园12号,18915278869@163.com,"房地产经纪;房地产信息咨询;房地产营销策划;会务服务、展览展示服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18915278869,
无锡威豪房产营销策划有限公司,江苏,无锡市,91320213MA1W3Y6X56,王祖洁,有限责任公司(自然人独资),2018-02-09,200万人民币元,无锡市梁溪区锡沪西路999-256,,"房地产营销策划;房地产经纪;房地产信息咨询;会议及展览服务;装饰装潢工程的设计、施工;五金产品、建筑材料、办公用品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡万腾房产经纪有限公司,江苏,无锡市,91320211MA1MQ4K41H,万苏青,有限责任公司,2016-07-19,30万人民币元,无锡市滨湖区玉兰西花园二期85-4商铺,390942701@qq.com,"房地产经纪服务;房地产营销策划;物业管理;房地产评估服务;家政服务;装饰装修服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18912395846,
无锡优乐房产经纪有限公司,江苏,无锡市,91320213MA1NBD777Y,陈睿,有限责任公司,2017-01-18,10万人民币元,无锡市红星路216号内1358,390942701@qq.com,"房地产中介服务;装饰装潢服务;企业管理咨询;贸易咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13771485770,
无锡元大房产经纪有限公司,江苏,无锡市,91320206MA1P6XR49K,张凯罗,有限责任公司,2017-06-14,3万人民币元,无锡市惠山区惠山万达商业广场138-720,,"房地产经纪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18068283718,
无锡荣观房产经纪有限公司,江苏,无锡市,91320213MA1N4U7Q0R,杨珊,有限责任公司(自然人独资),2016-12-21,20万人民币元,无锡市闻艺路52-1,15961811286@163.com,"房地产经纪;房地产营销策划;房地产中介服务;会务服务;展览展示服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15961811286,
无锡建园房产咨询有限公司,江苏,无锡市,91320206MA1N8U3K8H,阳建元,有限责任公司(自然人独资),2017-01-03,50万人民币元,无锡市惠山区阳山镇人民东路62号,18852484027@163.com,"房地产信息咨询;房地产经纪;房地产营销策划;会务服务;展览展示服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18852484027,
无锡吉安房产经纪服务有限公司,江苏,无锡市,,谢继安,有限责任公司(自然人独资),2012-09-24,10万人民币元,无锡市北塘区盛岸180-1、180-2,,许可经营项目:无 一般经营项目:房产经纪服务、房地产信息咨询。,,18921181180,
无锡景运房产经纪有限公司,江苏,无锡市,91320214MA1N41LY6Y,朱岩,有限责任公司(自然人独资),2016-12-16,50万人民币元,无锡市新吴区长江北路153-3,18852484027@163.com,"房地产中介服务、房地产营销策划、会议及展览服务、装饰装修服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18852484027,
无锡安桥房产中介有限公司,江苏,无锡市,91320205MA1R8PHP8H,周雨涵,有限责任公司,2017-09-28,10万人民币元,无锡市锡山区安镇街道凯旋华庭C区47,,"房地产中介服务;房地产信息咨询服务;房地产营销策划服务;会议及展示展览服务;房地产评估服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡安平房产经纪有限公司,江苏,无锡市,91320213MA1TEUYL13,徐永红,有限责任公司(自然人独资),2017-12-11,100万人民币元,无锡市梁溪区锡沪西路179,529332126@QQ.COM,"房地产经纪;房地产中介服务;房地产营销策划;物业管理;装饰装潢服务;市场调查;企业管理咨询;会议及展览服务;设计、制作、代理和发布各类广告;食品、家庭用品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15251660099,
无锡博睿房产经纪有限公司,江苏,无锡市,91320205MA1MNJ8A92,钱文元,有限责任公司,2016-06-23,50万人民币元,无锡市锡山区东亭街道东亭中路20号-3-1906、1907,chen-yanlyn@163.com,"房地产经纪服务;房地产营销策划;物业管理服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-88212207,
无锡富润房产中介有限公司,江苏,无锡市,91320211MA1NXJX367,王永,有限责任公司(自然人独资),2017-05-05,10万人民币元,无锡市滨湖区胡埭镇富安商业广场A区5-15,464245313@qq.com,"房地产中介服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18915342807,
无锡安众房产经纪有限公司,江苏,无锡市,91320213MA1NEF3F9C,吴桂珍,有限责任公司(自然人独资),2017-02-21,50万人民币元,无锡市南湖大道399-19,15251508002@163.com,"房地产经纪。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15251508002,
无锡市优创房产经纪有限公司,江苏,无锡市,91320206053529442C,陈洪根,有限责任公司,2012-09-20,500万人民币元,无锡市惠山区洛社镇锦绣苑1#楼店面房24#,2039735889@qq.com,"房产中介服务、经济信息咨询(不含投资咨询)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13914247555,
无锡浩源房产经纪有限公司,江苏,无锡市,91320211MA1P7BYF98,徐彩云,有限责任公司,2017-06-15,50万人民币元,无锡市滨湖区华庄街道观山名筑8幢449单元1层106号,,"房地产经纪服务;房地产信息咨询服务;房地产营销策划服务;会务服务;展览展示服务;房地产评估服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡荣和房产经纪有限公司,江苏,无锡市,91320213MA1Q1JTM4U,赵伟,有限责任公司(自然人独资),2017-08-04,100万人民币元,无锡市梁溪区锡沪西路梨花家园50-6,15929629995@163.com,"房地产经纪;房地产信息咨询;企业管理咨询;房地产营销策划;装饰装潢服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15929629995,
无锡千盛房产中介有限公司,江苏,无锡市,91320214MA1R69N15A,浦英,有限责任公司,2017-09-15,10万人民币元,无锡市新吴区鸿山街道锦鸿路85号,,"房产经纪服务;企业管理咨询(不含投资与资产管理);家政服务;装饰装修服务;设计、制作和代理发布广告业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡晟轩房产中介有限公司,江苏,无锡市,91320203MA1MT02A17,陈伟伟,有限责任公司(自然人独资),2016-08-19,200万人民币元,无锡市滨湖区雪溪苑B区B41-8,1164592536@qq.com,"房地产中介服务;企业管理咨询服务;企业形象策划;市场调查;会议及展览服务;培训服务(不含发证、不含国家统一认可的职业证书类培训);装饰装潢服务;设计、制作、代理和发布国内广告。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-80211837,18861829120；
无锡泰和房产经纪有限公司,江苏,无锡市,91320206MA1PDARL3E,石荣梅,有限责任公司,2017-07-13,10万人民币元,无锡市惠山区阳光壹佰国际城527-8,,"房地产中介服务,市场营销策划,企业管理咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15261536220,
无锡汉宇房产经纪有限公司,江苏,无锡市,913202143982214199,张寿山,有限责任公司(自然人独资),2014-07-01,50万人民币元,无锡市新区江溪街道欧典家园142-1,39854073@qq.com,"房地产经纪;装饰装潢服务(凭有效资质证书经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15852805040,
无锡房运通房产经纪有限公司,江苏,无锡市,91320203MA1MMUEE45,刘明,有限责任公司(自然人独资),2016-06-15,50万人民币元,无锡市高步沿73号8392室,13179326936@163.com,"房地产中介服务;企业形象策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13179326936,
无锡惠安房产经纪有限公司,江苏,无锡市,91320214MA1N4JA58D,惠志德,有限责任公司(自然人独资),2016-12-20,50万人民币元,无锡市新吴区江溪街道金城东路97-15,18852484027@163.com,"房地产经纪服务、房地产咨询服务、房地产营销策划、会议及展览服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18852484027,
无锡匠心房产营销策划有限公司,江苏,无锡市,91320205MA1MMPCU9N,尹松,有限责任公司,2016-06-13,100万人民币元,无锡市沁园新村868号3123,2234454@qq.COM,"房产营销策划;房产中介服务;房产信息咨询;房产经纪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13656182753,
无锡房多多房产经纪有限公司,江苏,无锡市,,王凡凡,有限责任公司,2013-08-08,10万人民币元,无锡市南长区五星家园258号1013室,1753787261@qq.com,"许可经营项目:无 一般经营项目:房地产中介服务;会议及展览服务;企业形象策划。(上述经营范围涉及许可证、专项审批的,经批准后方可经营)*",,18921287072,15152233643；13770647000；
无锡双鑫房产经纪有限公司,江苏,无锡市,91320211MA1MXDE38H,张永顺,有限责任公司(自然人独资),2016-10-19,10万人民币元,无锡市梁溪区蜻蜓浜5号345,1010837908@qq.com,"房地产经纪服务;房地产咨询服务;房地产估价服务;房屋租赁服务;设计、制作、代理和发布各类广告;企业形象策划服务;策划创意服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18012357019,18168907828；
无锡启航房产经纪有限公司,江苏,无锡市,91320203MA1MKK5K8A,杨雨航,有限责任公司,2016-05-10,20万人民币元,无锡市通扬南路9号433室,2667721637@qq.com,"房地产中介服务;企业管理咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18956393132,18852475005；
无锡天策房产经纪有限公司,江苏,无锡市,91320203MA1MK0U41Q,柏杰,有限责任公司,2016-04-27,50万人民币元,无锡市新天地休闲广场1-704,549483270@qq.com,"房地产中介服务;企业管理咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15251655781,
无锡恭喜房产经纪有限公司,江苏,无锡市,91320214MA1NAP0J8L,费正亮,有限责任公司,2017-01-13,50万人民币元,无锡市新吴区金城大厦1-707,,"房地产经纪服务、房地产信息咨询服务、装饰装修服务、房地产营销策划、经济与商务信息咨询服务(不含投资咨询)、家政服务咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡丰收房产经纪有限公司,江苏,无锡市,91320204772003084Q,张宗训,有限责任公司,2005-03-24,50万人民币元,无锡市惠山区欣惠路256号,1543452430@qq.com,"房产中介服务、家政服务;企业形象策划;市场调查;会议及展览服务;物业管理;房屋维修;婚姻(不含涉外婚姻)、礼仪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82433010,0510-82433010；15852526797；0510-83131450；
无锡轩逸房产经纪有限公司,江苏,无锡市,91320213MA1Q1E6R5L,杨绪山,有限责任公司(自然人独资),2017-08-03,20万人民币元,无锡市梁溪区江海东路148号1039,,"房地产经纪服务;房地产信息咨询;装饰装潢服务;房地产营销策划;商务咨询(不含投资咨询、不含期货证券)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18260475454,
无锡超博房产经纪有限公司,江苏,无锡市,91320202323559079P,马芝云,有限责任公司(自然人独资),2015-01-04,10万人民币元,无锡市广益路208号F1151,2039735889@qq.com,"房产中介服务、会务服务;经济贸易信息咨询、市场营销策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13812288642,
无锡龙禧房产经纪有限公司,江苏,无锡市,91320206063201408U,冯歧南,有限责任公司,2013-02-26,50万人民币元,无锡市惠山区中威国际公寓2-601(开发区),991779560@qq.com,"房地产中介服务,企业管理服务、社会经济咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18888033781,15852545550；18851579555；13961723869；
无锡恒德房地产营销策划有限公司,江苏,无锡市,91320211MA1QFQEK8W,魏芸,有限责任公司(自然人独资),2017-09-07,500万人民币元,无锡市滨湖区金融八街八号联合金融大厦708室,13814221048@163.com,"房地产营销策划;房地产经纪服务;大型活动组织服务;组织文化艺术交流活动;会议及展览服务;家庭用品的零售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13814221048,
无锡普扬房产经纪有限公司,江苏,无锡市,91320214MA1MQNH955,言斐,有限责任公司(自然人独资),2016-08-01,50万人民币元,无锡市新吴区长江北路267-44号一楼,1009775780@qq.com,"房地产经纪服务;房地产营销策划服务;大型庆典活动策划;组织文化艺术交流活动;会议及展览服务;百货的零售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18762642124,
无锡韩信房产经纪有限公司,江苏,无锡市,91320214678336501H,金男植,有限责任公司(自然人独资),2008-07-18,10万人民币元,无锡市新区长江北路6号百仕达大厦1220室,923043235@qq.com,"房地产经纪、房地产营销策划、企业投资咨询、社会经济信息咨询服务;汽车租赁。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-85489580,
无锡创百亿房产经纪有限公司,江苏,无锡市,91320211MA1UUW6N3L,张泽福,有限责任公司(自然人独资),2018-01-08,500万人民币元,无锡市滨湖区五湖大道11号蠡湖科创中心南楼279-1室,,"房产经纪服务;房地产营销策划;设计、制作、代理和发布各类广告。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡邦泰房产营销策划有限公司,江苏,无锡市,91320205338810449F,王刚,有限责任公司,2015-04-14,10万人民币元,无锡市锡山区安镇街道锡东大道3137号二楼,1515973143@qq.ccom,"商品房的营销策划及销售代理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13921507355,
无锡天润房产经纪有限公司,江苏,无锡市,91320206MA1NCEPF5N,熊小红,有限责任公司,2017-02-06,3万人民币元,无锡市惠山区华惠路97,,"房地产中介服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13585049052,
无锡诺言房产经纪有限公司,江苏,无锡市,9132021433923309XQ,穆良涛,有限责任公司,2015-06-05,20万人民币元,无锡市新区金城东路97-18,390942701@qq.com,"房地产经纪服务;房地产信息咨询服务;经济与商务咨询服务;投资咨询(不含证券和期货);房地产营销策划;家政服务;建筑装饰装潢的设计、施工;百货的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13771091245,18115758288；
无锡雅轩房产经纪有限公司,江苏,无锡市,91320203MA1MCMY43H,杨兵,有限责任公司,2015-12-11,20万人民币元,无锡市南长区锡山新村126号2008,,"房地产中介服务;企业形象策划;企业管理咨询服务;会议及展览服务;贸易咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18552019907,0510-66888189；
无锡惠力房产经纪有限公司,江苏,无锡市,91320213MA1Q1M3X7G,陶云芬,有限责任公司,2017-08-04,3万人民币元,无锡市盛岸路248号,137607155@QQ.COM,"房地产经纪;房地产营销策划;企业管理服务;会议及展览服务;物业管理;设计、制作、代理和发布各类广告。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13656177281,
无锡吉邦房产经纪有限公司,江苏,无锡市,91320202346274957W,张书芳,有限责任公司,2015-07-13,10万人民币元,无锡市上马墩路152号4210,18706184421@139.com,"房产经纪;房产营销策划、企业营销策划;投资咨询(不含证券、期货);电脑加工图片服务;建筑劳务分包;楼宇智能化工程、装饰装潢工程的设计、施工;办公用品、建筑材料、家具、日用品、电子产品的销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18706184421,
无锡房得利房产咨询有限公司,江苏,无锡市,91320214MA1P0P6089,冯静,有限责任公司,2017-05-16,50万人民币元,无锡市新吴区长江北路180-24号,610115802@qq.com,"房地产中介服务、经济与商务咨询服务(不含投资咨询);装饰装修服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13961826967,
无锡市德邦房产中介有限公司,江苏,无锡市,91320206MA1MUYNA3T,李秀威,有限责任公司(自然人独资),2016-09-27,500万人民币元,无锡市惠山区钱桥百乐商业广场100-4号,,"房产信息咨询服务、房产经纪服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15106198189,
无锡房保姆房产经纪有限公司,江苏,无锡市,91320213MA1NY70Q7G,张伟伟,有限责任公司(自然人独资),2017-05-09,50万人民币元,无锡市运河东路556号1603室,,"房地产经纪;房地产中介;房屋租赁(不含融资租赁);物业管理服务;装饰装潢服务;清洁服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡房优购房产营销策划有限公司,江苏,无锡市,91320200MA1MW27A5J,刘庆来,有限责任公司,2016-09-28,201万人民币元,无锡市锡沪西路59号,,"房产经纪;市场营销策划;企业形象策划;会议及展览服务;组织文化艺术交流活动;礼仪服务;培训服务(不含发证、不含国家统一认可的职业证书类培训);利用自有资产对外投资。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13806198209,
无锡如福房产经纪有限公司,江苏,无锡市,91320213MA1NYX4L2J,王韦强,有限责任公司,2017-05-11,50万人民币元,无锡市风顺里60-57号,270317584@qq.com,"房地产营销策划、房产经纪、房产中介、房产信息咨询;会议及展览服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13812040022,
无锡江达房产经纪有限公司,江苏,无锡市,91320213MA1NGK722C,范青玲,有限责任公司,2017-03-03,15万人民币元,无锡市梁溪区红星路216号内1361,390942701@qq.com,"房地产经纪;企业管理咨询、房地产信息咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15895367969,
无锡居锡诚房产经纪有限公司,江苏,无锡市,91320213MA1PA7KR3Q,李显,有限责任公司(自然人独资),2017-06-28,50万人民币元,无锡市梁溪区红星路216号内1606,13921536165@163.com,"房地产经纪;房地产营销策划;房地产信息咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13921536165,
无锡英达房产经纪有限公司,江苏,无锡市,91320205MA1P24Y690,陈长建,有限责任公司,2017-05-23,30万人民币元,无锡市锡山区东亭街道锡沪东路28-1号,954770679@qq.com,"房地产中介服务;企业管理咨询服务;企业形象策划;会议及展览服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18921287072,
无锡金一诺房产信息咨询有限公司,江苏,无锡市,91320213MA1WJ1RP0Y,周侠昌,有限责任公司(自然人独资),2018-05-14,30万人民币元,无锡市梁溪区西新街18号727室,,"房产信息咨询;房地产经纪;贸易咨询;装饰装潢服务;企业形象策划;市场营销策划;房屋租赁(不含融资租赁)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡大赢家房产经纪有限公司,江苏,无锡市,91320200MA1NX2XD1G,赵金喻,有限责任公司(自然人独资),2017-05-03,500万人民币元,无锡市上马墩路152号2168,18851568825@163.com,"房地产经纪服务;房地产营销策划;房地产信息咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18851568825,
无锡盛家房产经纪有限公司,江苏,无锡市,91320205MA1N2GUA71,胡磊,有限责任公司,2016-12-08,50万人民币元,无锡市锡山区东亭街道绿景雅苑11-1,390942701@qq.com,"房地产中介服务;房地产营销策划;房地产信息咨询服务;房地产评估服务(不含国有资产评估);装饰装潢服务;培训服务(不含发证、不含国家统一认可的职业证书类培训)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18168939858,15000228961；
无锡铭腾房产经纪有限公司,江苏,无锡市,91320214MA1Q2AJU7A,杲海燕,有限责任公司,2017-08-09,35万人民币元,无锡市新吴区铭城花园9-17,,"房地产经纪;房地产信息咨询;装饰装修服务;房地产营销策划;经济与商务信息咨询(不含投资咨询)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,,
无锡新新房产营销策划有限公司,江苏,无锡市,91320200MA1P070F3A,陆森,有限责任公司(自然人独资),2017-05-12,201万人民币元,无锡市梁溪区红星路216号内1544,13921176453@139.com,"房地产营销策划;房地产经纪;房地产信息咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13921176453,
无锡易合房产经纪有限公司,江苏,无锡市,91320214MA1MEFK11U,吕宗有,有限责任公司,2016-01-15,20万人民币元,无锡市新区金城东路297-1-1407,2662482738@qq.com,"企业形象策划;企业管理咨询服务;房地产经纪服务;会议及展览服务;贸易咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15251683118,
无锡群英房产经纪有限公司,江苏,无锡市,91320200MA1P1H8Q7D,柯奇志,有限责任公司(自然人独资),2017-05-19,201万人民币元,无锡市梁溪区红星路216号内1550,13951567921@163.com,房地产经纪;房地产营销策划;房地产信息咨询;自有房屋租赁;物业管理;企业管理咨询服务;企业形象策划;企业营销策划;会议及展览服务;设计、制作、代理和发布各类广告业务;贸易咨询服务;建筑装修装饰工程、绿化工程、市政公用工程的设计、施工、维护;计算机软硬件的技术开发、技术转让、技术咨询、技术服务;化工产品及原料(不含...,,13951567921,
无锡金碧房产信息咨询有限公司,江苏,无锡市,91320200MA1NH0571N,张嘉伟,有限责任公司(自然人独资),2017-03-06,201万人民币元,无锡市南湖大道588号内613-R10室,13771418961@139.com,"房地产信息咨询;房地产经纪;房地产营销策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13771418961,
无锡今生缘房产经纪有限公司,江苏,无锡市,,吴晓敏,有限责任公司,2010-09-29,10万人民币元,无锡市滨湖区梁荷路疏导点19号,,许可经营项目:无 一般经营项目:房产中介服务;经济贸易咨询服务;婚姻介绍服务;家务服务;清洗保洁服务。上述经营范围中涉及专项审批的待批准后方可经营。,,,
无锡市电仪房产开发有限公司,江苏,无锡市,91320211135918062X,夏威,有限责任公司（法人独资）,1993-02-02,825.7万人民币元,无锡市滨湖区马山梅梁路26号,wxdyfk@126.com,"房地产开发经营(三级)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,0510-82700617,0510-82700612；
无锡房佳家房产信息咨询有限公司,江苏,无锡市,91320200MA1MG2EB0Y,王毅,有限责任公司,2016-03-10,201万人民币元,无锡市沁园新村868号305室,2269647879@qq.com,"房地产咨询;房地产经纪;贸易咨询服务;会议及展览服务;企业形象策划服务;企业管理咨询服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18762607379,18051955363；
无锡浪漫满屋房产经纪有限公司,江苏,无锡市,91320214MA1MNW1Y6Y,刘进华,有限责任公司(自然人独资),2016-06-29,10万人民币元,无锡市新吴区天山路32-7,18068252701@163.com,"房地产经纪服务;房地产信息咨询;装饰装修服务;房地产营销策划;社会经济咨询(不含投资咨询);商务信息咨询(不含投资咨询)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18068252701,
无锡房利来房产经纪有限公司,江苏,无锡市,91320203076327560M,尹姗姗,有限责任公司,2013-08-20,50万人民币元,无锡市南长区五星家园258号1024,95477069@qq.com,"房地产中介服务;会议及展览服务;企业形象策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18921287072,15152233643；13485048175；
无锡睿友房产经纪有限公司,江苏,无锡市,91320211MA1Q3JYW9U,王扶霞,有限责任公司(自然人独资),2017-08-16,500万人民币元,无锡市滨湖区蠡湖人家50-10号,,"房地产经纪服务;房地产咨询服务;市场营销策划。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,15190243955,
无锡恒正房产经纪有限公司,江苏,无锡市,91320213MA1MYGEQXJ,张英,有限责任公司,2016-11-07,10万人民币元,无锡市金山北科技产业园C区1-3,15951580080@163.com,房地产中介服务;房产经纪;房地产营销策划;企业形象策划;贸易咨询服务(不含投资咨询);企业管理服务;会议以及展览服务;策划创意服务;市场调查;组织文化艺术交流活动;设计、制作、代理发布各类广告业务;演出经纪;电影摄制;动漫制作;旅游信息咨询服务;百货的零售;培训服务(不含发证、不含国家统一认可的执业证书类培训);装饰...,,15951580080,
无锡凯丰房产营销策划有限公司,江苏,无锡市,91320213MA1NBHTK4T,张洪燕,有限责任公司(自然人独资),2017-01-19,50万人民币元,无锡市红星路216号内1379,13814281389@163.com,"房产营销策划;房产经纪;房产信息咨询;企业管理咨询。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,13814281389,
无锡博轩房产经纪有限公司,江苏,无锡市,91320211MA1MUQ8R5W,陈哲,有限责任公司,2016-09-22,50万人民币元,无锡市滨湖区隐秀路813号喜年中心A幢818室,35797667@qq.com,"房地产经纪服务;房地产咨询服务;房地产营销策划;设计、制作、代理和发布各类广告;电脑加工图片服务;企业营销策划服务;企业形象策划;会议及展览服务;组织文化艺术交流活动。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",,18661012331,
无锡尚邦房产经纪有限公司,江苏,无锡市,91320211MA1Q5KG22J,张琦,有限责任公司(自然人独资),2017-08-29,30万人民币元,无锡市鑫龙佳苑107号1-2层,13812180214@163.com,房产信息咨询;房产经纪;房地产营销策划;贸易咨询;市场调查;企业管理咨询;市场营销策划;培训服务(不含发证、不含国家统一认可的职业证书类培训);会议及展览服务;礼仪服务;网络技术、计算机软件的技术开发、技术转让、技术服务及技术咨询;组织、策划文化艺术交流活动;设计、制作、代理、发布各类广告;电脑加工图片服务;工艺品...,,13812180214,
